,createdAt,id,text,retweetCount,likeCount,replyCount,cleaned_text,sentiment_label,bert_confidence,custom_score
0,Fri Aug 01 03:32:46 +0000 2025,1.95112e+18,"IHSG menguat 0,79% ke 7.543 di awal perdagangan Jumat (1/8), dipimpin sektor barang baku. BRPT jadi top gainer LQ45 pagi ini. @Saham_fess @TradingDiary2 @Sahamongkolfilm https://t.co/h2uqfx2GFw #IHSG #pasarsaham #SahamIHSG",0,0,0,ihsg menguat 079 7543 perdagangan jumat dipimpin sektor barang baku brpt top gainer lq45 pagi,neutral,0.998120129108429,0
1,Wed Jul 30 13:29:37 +0000 2025,1.95055e+18,@bxhtivr @Saham_fess BRPT udah stock split beberapa kali,0,0,0,brpt udah stock split kali,neutral,0.9969286322593689,0
2,Wed Jul 30 12:35:32 +0000 2025,1.95054e+18,@Saham_fess BRPT?,0,1,2,brpt,positive,0.9974479675292969,0
3,Tue Jul 29 06:40:13 +0000 2025,1.95008e+18,"Melesat 5,67%, Saham BRPT Topang IHSG Ditutup di Zona Hijau

https://t.co/7lgpN3735B",1,0,0,melesat 567 saham brpt topang ihsg ditutup zona hijau,neutral,0.997861921787262,0
4,Tue Jul 29 05:41:15 +0000 2025,1.95007e+18,"Saham Melambung 245%, Ini Kekuatan Barito Pacific (BRPT)

#saham #infosaham #investasi     

https://t.co/SMOLc1WWtb",1,1,0,saham melambung 245 kekuatan barito pacific brpt,neutral,0.9814109206199646,0
5,Tue Jul 29 01:11:01 +0000 2025,1.95e+18,"IHSG mencatat kenaikan tertinggi dalam 9 bulan  &amp; Kapitalisasi Pasar Cetak Rekor. 

#CTASaham
#Saham
#IDX
#trending
#IHSG
#BI
#Trump
#TheFed
#BI
#Konglomerat
#ADMR
#ASII
#BRPT
#CDIA
#ENRG
#PANI
#PGEO
#SIMP
#Astrocyclectasaham
#Algoritmatrading
#trading
#trader
#RTIbusiness
#HOTS https://t.co/jDpEUXFLxX",0,0,0,ihsg mencatat kenaikan tertinggi amp kapitalisasi pasar cetak rekor,neutral,0.9748272895812988,0
6,Mon Jul 28 12:12:55 +0000 2025,1.94981e+18,"Dari BUVA dan BRPT saya belajar, ga semua saham itu sprinter bisa jadi dia ikut kelas marathon.",0,0,0,buva brpt belajar saham sprinter kelas marathon,neutral,0.9969977140426636,0
7,Mon Jul 28 01:01:35 +0000 2025,1.94964e+18,"@atikam22 @profesor_saham Berdasarkan data terkini (penutupan 25 Juli 2025: 2.480 IDR), BRPT telah naik 169% YTD. Untuk capai 3.000 IDR, butuh ~21% lagi. Mungkin terjadi jika tren positif berlanjut, tapi pasar saham tak bisa diprediksiâ€”risiko fluktuasi tinggi. Saran: pantau fundamental perusahaan.",0,0,0,berdasarkan data terkini penutupan juli 2025 2480 idr brpt 169 ytd capai 3000 idr butuh tren positif berlanjut pasar saham diprediksirisiko fluktuasi saran pantau fundamental perusahaan,neutral,0.9979473948478699,0
8,Mon Jul 28 00:59:44 +0000 2025,1.94964e+18,@grok @profesor_saham @grok apakah brpt akan ke 3000?,0,0,1,brpt 3000,positive,0.9862727522850037,0
9,Sun Jul 27 05:48:18 +0000 2025,1.94935e+18,https://t.co/m9GxnDxbfP,0,0,0,,neutral,0.5,0
10,Thu Aug 14 02:33:00 +0000 2025,1.95582e+18,"?IHSG Rabu (13/8/2025) menguat 1,3% ke 7.892,91 di dorong sektor teknologi, kesehatan, dan properti
??Saham rekomendasi hari ini ada EMTK, MAPA, ASRI, BRPT, GOTO, CPIN, ASII, BRIS.
?Tren bullish berlanjut, saham-saham ini pantas dicermati!
#StockMarket #sahamindonesia #Bullish https://t.co/Rl7nCOiQgQ",0,2,0,ihsg rabu 1382025 menguat 789291 dorong sektor teknologi kesehatan properti saham rekomendasi emtk mapa asri brpt goto cpin asii bris tren bullish berlanjut sahamsaham dicermati,neutral,0.9905130863189697,0
11,Mon Aug 11 12:59:54 +0000 2025,1.95489e+18,"Lumayanlah 2 juta sebulan x 12 bulan udah 24 juta x 4 tahun kerja = 96 juta 
Ditambah hasil dari Nabung Saham sejak Kuliah

Anggap dulu beli
BRPT di harga 750/lot x 50 lot = Rp. 3,750,000

Jual di harga 2000/lot
50 lot x 2000 = Rp. 10 juta

Rp. 10 juta - Rp. 3.75 = 6.250k",0,0,0,lumayanlah juta sebulan udah juta kerja juta ditambah hasil nabung saham kuliah anggap beli brpt harga 750lot lot 3750000 jual harga 2000lot lot 2000 juta juta 375 6250k,negative,0.6161834001541138,-1
12,Mon Aug 11 01:13:15 +0000 2025,1.95471e+18,"IHSG TECHNICAL VIEW (11/08)??

IHSG minggu lalu ditutup naik 0.58%, tapi disertai dengan net sell asing ~403 Miliar. Saham yang paling banyak dijual asing adalah CUAN, DSSA, BRPT, AMRT, dan ENRG.",0,0,1,ihsg technical view 1108 ihsg minggu ditutup 058 disertai net sell asing 403 miliar saham dijual asing cuan dssa brpt amrt enrg,positive,0.9974403381347656,1
13,Thu Aug 07 11:49:02 +0000 2025,1.95342e+18,"utk pertama x nya bagger:
BRPT 218%
PLTR 100an%
ETH 100an%

sisanya
RAJA 30an%
RATU 30an%
BTC 25an%
dan bbrp saham US &gt; 20an%

Hikmahnya: 
kesempatan bagger itu bisa jadi setahun sekali atau beberapa tahun sekali, dan memang harus sabar. :)",0,2,0,utk nya bagger brpt 218 pltr 100an eth 100an sisanya raja 30an ratu 30an btc 25an bbrp saham 20an hikmahnya kesempatan bagger setahun sabar,positive,0.8796595931053162,0
14,Thu Aug 07 04:05:26 +0000 2025,1.95331e+18,"Catatannya, kamu yang hold $CUAN di Rp1.500-an justru jangan berharap CUAN masuk MSCI di Agustus karena secara historis $BRPT dan $TPIA (dua saham prajogo yang masuk MSCI lebih dulu), keduanya cenderung koreksi sideways pasca pengumuman dan koreksi setelah periode efektif.",0,2,2,catatannya hold cuan rp1500an berharap cuan masuk msci agustus historis brpt tpia saham prajogo masuk msci cenderung koreksi sideways pasca pengumuman koreksi periode efektif,positive,0.9949004054069519,2
15,Wed Aug 06 10:06:05 +0000 2025,1.95303e+18,"Bagger 2025 dibuka dengan PGEO dan ANTM. Disusul dengan CUAN dan BRPT. 

Lalu ada SSIA yang sampai puluhan porto saya share disini. 

BTW list bagger2 ini ya sudah jelas kita masih hold. Kita kan ga kaya kamu. Keluar masuk gajelas hasil 0 besar. 

Dan ada saham baru masuk list yaitu FILM. Happy bagger dan tetap HOLDDD !!!",2,60,0,bagger 2025 dibuka pgeo antm disusul cuan brpt ssia puluhan porto share btw list bagger2 hold kaya masuk gajelas hasil saham masuk list film happy bagger holddd,positive,0.9970376491546631,1
16,Wed Aug 06 02:40:58 +0000 2025,1.95292e+18,"SAHAM CANTIK BRPT: 
- Naik +65% dlm sebulan 
- Dari 1550 sampai 2570 https://t.co/g920jVb7bJ",0,1,2,saham cantik brpt dlm sebulan 1550 2570,positive,0.7336591482162476,0
17,Tue Aug 05 07:15:42 +0000 2025,1.95263e+18,"Kira-kira ada yang bakal berubah ga ya sebentar lagi rebalancing? ??

#BBCA #BBRI #BMRI #TLKM #ASII #TPIA #BRPT #BBNI #GOTO #AMMN #MSCI #saham #index #infosaham #sahampemula #PinePick #QuickPick #QuickPickPinePick #InvestasiCerdasMu https://t.co/rzv0zmlfob",0,1,0,kirakira berubah sebentar rebalancing,negative,0.8541330695152283,0
18,Tue Aug 05 05:23:40 +0000 2025,1.9526e+18,"Saham #CUAN akhirnya rebound. Semoga sesi kedua juga terus rebound. Today must be better
#CUAN #PTRO #BRPT #CDIA",0,0,0,saham rebound semoga sesi rebound today must better,positive,0.9424277544021606,0
19,Mon Aug 04 02:43:06 +0000 2025,1.9522e+18,"IHSG Tergelincir ke Zona Merah, Saham BBRI, AMMN, hingga BRPT Berguguran https://t.co/vXgcXE2VXj",0,0,0,ihsg tergelincir zona merah saham bbri ammn brpt berguguran,neutral,0.9964789748191833,0
